Dataset,Model,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Layer,Activation Ratio,Neuron Count,Active Count
FashionMNIST,784=>512=>256=>128=>64=>10,8,0.9064333333333333,0.8838,0.2496513603394156,0.33738958123762897,4,0.3971,64,25.41
FashionMNIST,784=>512=>256=>128=>64=>10,8,0.9064333333333333,0.8838,0.2496513603394156,0.33738958123762897,5,0.2291,10,2.29
FashionMNIST,784=>512=>256=>128=>64=>10,9,0.9106666666666666,0.8816,0.23889487224029327,0.33727524372612594,1,0.1105,512,56.59
FashionMNIST,784=>512=>256=>128=>64=>10,9,0.9106666666666666,0.8816,0.23889487224029327,0.33727524372612594,2,0.2208,256,56.54
FashionMNIST,784=>512=>256=>128=>64=>10,9,0.9106666666666666,0.8816,0.23889487224029327,0.33727524372612594,3,0.3277,128,41.95
FashionMNIST,784=>512=>256=>128=>64=>10,9,0.9106666666666666,0.8816,0.23889487224029327,0.33727524372612594,4,0.3854,64,24.66
FashionMNIST,784=>512=>256=>128=>64=>10,9,0.9106666666666666,0.8816,0.23889487224029327,0.33727524372612594,5,0.2236,10,2.24
FashionMNIST,784=>512=>256=>128=>64=>10,10,0.9124666666666666,0.8815,0.23029408886282046,0.3343751713823361,1,0.1043,512,53.41
FashionMNIST,784=>512=>256=>128=>64=>10,10,0.9124666666666666,0.8815,0.23029408886282046,0.3343751713823361,2,0.2174,256,55.66
FashionMNIST,784=>512=>256=>128=>64=>10,10,0.9124666666666666,0.8815,0.23029408886282046,0.3343751713823361,3,0.3132,128,40.08
FashionMNIST,784=>512=>256=>128=>64=>10,10,0.9124666666666666,0.8815,0.23029408886282046,0.3343751713823361,4,0.3762,64,24.07
FashionMNIST,784=>512=>256=>128=>64=>10,10,0.9124666666666666,0.8815,0.23029408886282046,0.3343751713823361,5,0.2176,10,2.18
FashionMNIST,784=>512=>256=>128=>64=>10,11,0.9166666666666666,0.8863,0.22002814175572985,0.34889570504996426,1,0.1008,512,51.61
FashionMNIST,784=>512=>256=>128=>64=>10,11,0.9166666666666666,0.8863,0.22002814175572985,0.34889570504996426,2,0.2082,256,53.3
FashionMNIST,784=>512=>256=>128=>64=>10,11,0.9166666666666666,0.8863,0.22002814175572985,0.34889570504996426,3,0.3034,128,38.83
FashionMNIST,784=>512=>256=>128=>64=>10,11,0.9166666666666666,0.8863,0.22002814175572985,0.34889570504996426,4,0.3615,64,23.14
FashionMNIST,784=>512=>256=>128=>64=>10,11,0.9166666666666666,0.8863,0.22002814175572985,0.34889570504996426,5,0.2121,10,2.12
FashionMNIST,784=>512=>256=>128=>64=>10,12,0.92025,0.89,0.21322643957031306,0.3242918058850203,1,0.0986,512,50.46
FashionMNIST,784=>512=>256=>128=>64=>10,12,0.92025,0.89,0.21322643957031306,0.3242918058850203,2,0.2025,256,51.84
FashionMNIST,784=>512=>256=>128=>64=>10,12,0.92025,0.89,0.21322643957031306,0.3242918058850203,3,0.295,128,37.76
FashionMNIST,784=>512=>256=>128=>64=>10,12,0.92025,0.89,0.21322643957031306,0.3242918058850203,4,0.349,64,22.33
FashionMNIST,784=>512=>256=>128=>64=>10,12,0.92025,0.89,0.21322643957031306,0.3242918058850203,5,0.2102,10,2.1
FashionMNIST,784=>512=>256=>128=>64=>10,13,0.9213666666666667,0.8908,0.2066850945996895,0.3334754786104154,1,0.0946,512,48.46
FashionMNIST,784=>512=>256=>128=>64=>10,13,0.9213666666666667,0.8908,0.2066850945996895,0.3334754786104154,2,0.1994,256,51.04
FashionMNIST,784=>512=>256=>128=>64=>10,13,0.9213666666666667,0.8908,0.2066850945996895,0.3334754786104154,3,0.2813,128,36.01
FashionMNIST,784=>512=>256=>128=>64=>10,13,0.9213666666666667,0.8908,0.2066850945996895,0.3334754786104154,4,0.3424,64,21.91
FashionMNIST,784=>512=>256=>128=>64=>10,13,0.9213666666666667,0.8908,0.2066850945996895,0.3334754786104154,5,0.2065,10,2.07
FashionMNIST,784=>512=>256=>128=>64=>10,14,0.92535,0.8936,0.19935758686713825,0.3269768147521718,1,0.0919,512,47.04
FashionMNIST,784=>512=>256=>128=>64=>10,14,0.92535,0.8936,0.19935758686713825,0.3269768147521718,2,0.1975,256,50.57
FashionMNIST,784=>512=>256=>128=>64=>10,14,0.92535,0.8936,0.19935758686713825,0.3269768147521718,3,0.2704,128,34.62
FashionMNIST,784=>512=>256=>128=>64=>10,14,0.92535,0.8936,0.19935758686713825,0.3269768147521718,4,0.3345,64,21.41
FashionMNIST,784=>512=>256=>128=>64=>10,14,0.92535,0.8936,0.19935758686713825,0.3269768147521718,5,0.1988,10,1.99
FashionMNIST,784=>512=>256=>128=>64=>10,15,0.9279166666666666,0.8915,0.19202683726623496,0.3375785943049534,1,0.0912,512,46.69
FashionMNIST,784=>512=>256=>128=>64=>10,15,0.9279166666666666,0.8915,0.19202683726623496,0.3375785943049534,2,0.1955,256,50.04
FashionMNIST,784=>512=>256=>128=>64=>10,15,0.9279166666666666,0.8915,0.19202683726623496,0.3375785943049534,3,0.2657,128,34.01
FashionMNIST,784=>512=>256=>128=>64=>10,15,0.9279166666666666,0.8915,0.19202683726623496,0.3375785943049534,4,0.3281,64,21.0
FashionMNIST,784=>512=>256=>128=>64=>10,15,0.9279166666666666,0.8915,0.19202683726623496,0.3375785943049534,5,0.1966,10,1.97
FashionMNIST,784=>512=>256=>128=>64=>10,16,0.9288833333333333,0.8933,0.1870340375757929,0.33770958595215134,1,0.0892,512,45.69
FashionMNIST,784=>512=>256=>128=>64=>10,16,0.9288833333333333,0.8933,0.1870340375757929,0.33770958595215134,2,0.1902,256,48.7
FashionMNIST,784=>512=>256=>128=>64=>10,16,0.9288833333333333,0.8933,0.1870340375757929,0.33770958595215134,3,0.259,128,33.15
FashionMNIST,784=>512=>256=>128=>64=>10,16,0.9288833333333333,0.8933,0.1870340375757929,0.33770958595215134,4,0.3236,64,20.71
FashionMNIST,784=>512=>256=>128=>64=>10,16,0.9288833333333333,0.8933,0.1870340375757929,0.33770958595215134,5,0.1906,10,1.91
FashionMNIST,784=>512=>256=>128=>64=>10,17,0.9319333333333333,0.8864,0.1786127093869613,0.3525218413608849,1,0.0891,512,45.6
FashionMNIST,784=>512=>256=>128=>64=>10,17,0.9319333333333333,0.8864,0.1786127093869613,0.3525218413608849,2,0.1876,256,48.01
FashionMNIST,784=>512=>256=>128=>64=>10,17,0.9319333333333333,0.8864,0.1786127093869613,0.3525218413608849,3,0.2531,128,32.4
FashionMNIST,784=>512=>256=>128=>64=>10,17,0.9319333333333333,0.8864,0.1786127093869613,0.3525218413608849,4,0.3178,64,20.34
FashionMNIST,784=>512=>256=>128=>64=>10,17,0.9319333333333333,0.8864,0.1786127093869613,0.3525218413608849,5,0.1881,10,1.88
FashionMNIST,784=>512=>256=>128=>64=>10,18,0.933,0.8861,0.17341079235648804,0.3829467521066878,1,0.0894,512,45.75
FashionMNIST,784=>512=>256=>128=>64=>10,18,0.933,0.8861,0.17341079235648804,0.3829467521066878,2,0.186,256,47.61
FashionMNIST,784=>512=>256=>128=>64=>10,18,0.933,0.8861,0.17341079235648804,0.3829467521066878,3,0.2478,128,31.72
FashionMNIST,784=>512=>256=>128=>64=>10,18,0.933,0.8861,0.17341079235648804,0.3829467521066878,4,0.3011,64,19.27
FashionMNIST,784=>512=>256=>128=>64=>10,18,0.933,0.8861,0.17341079235648804,0.3829467521066878,5,0.1831,10,1.83
FashionMNIST,784=>512=>256=>128=>64=>10,19,0.9356,0.8957,0.16877742104534146,0.3418492166574594,1,0.0892,512,45.68
FashionMNIST,784=>512=>256=>128=>64=>10,19,0.9356,0.8957,0.16877742104534146,0.3418492166574594,2,0.1835,256,46.98
FashionMNIST,784=>512=>256=>128=>64=>10,19,0.9356,0.8957,0.16877742104534146,0.3418492166574594,3,0.2427,128,31.07
FashionMNIST,784=>512=>256=>128=>64=>10,19,0.9356,0.8957,0.16877742104534146,0.3418492166574594,4,0.2984,64,19.1
FashionMNIST,784=>512=>256=>128=>64=>10,19,0.9356,0.8957,0.16877742104534146,0.3418492166574594,5,0.1836,10,1.84
FashionMNIST,784=>512=>256=>128=>64=>10,20,0.9372833333333334,0.8949,0.16452607141136488,0.3621047466139125,1,0.0886,512,45.39
FashionMNIST,784=>512=>256=>128=>64=>10,20,0.9372833333333334,0.8949,0.16452607141136488,0.3621047466139125,2,0.1835,256,46.97
FashionMNIST,784=>512=>256=>128=>64=>10,20,0.9372833333333334,0.8949,0.16452607141136488,0.3621047466139125,3,0.2393,128,30.63
FashionMNIST,784=>512=>256=>128=>64=>10,20,0.9372833333333334,0.8949,0.16452607141136488,0.3621047466139125,4,0.2913,64,18.64
FashionMNIST,784=>512=>256=>128=>64=>10,20,0.9372833333333334,0.8949,0.16452607141136488,0.3621047466139125,5,0.1812,10,1.81
FashionMNIST,784=>256=>128=>64=>10,1,0.8012666666666667,0.8471,0.5531964216754635,0.4234299351265476,1,0.5423,256,138.82
FashionMNIST,784=>256=>128=>64=>10,1,0.8012666666666667,0.8471,0.5531964216754635,0.4234299351265476,2,0.5672,128,72.6
FashionMNIST,784=>256=>128=>64=>10,1,0.8012666666666667,0.8471,0.5531964216754635,0.4234299351265476,3,0.5964,64,38.17
FashionMNIST,784=>256=>128=>64=>10,1,0.8012666666666667,0.8471,0.5531964216754635,0.4234299351265476,4,0.3334,10,3.33
FashionMNIST,784=>256=>128=>64=>10,2,0.8615666666666667,0.8618,0.3785688529994442,0.38776237190149393,1,0.3954,256,101.22
FashionMNIST,784=>256=>128=>64=>10,2,0.8615666666666667,0.8618,0.3785688529994442,0.38776237190149393,2,0.5126,128,65.61
FashionMNIST,784=>256=>128=>64=>10,2,0.8615666666666667,0.8618,0.3785688529994442,0.38776237190149393,3,0.5634,64,36.06
FashionMNIST,784=>256=>128=>64=>10,2,0.8615666666666667,0.8618,0.3785688529994442,0.38776237190149393,4,0.2685,10,2.69
FashionMNIST,784=>256=>128=>64=>10,3,0.8753833333333333,0.8645,0.3392978778430648,0.37325222182805373,1,0.3202,256,81.96
FashionMNIST,784=>256=>128=>64=>10,3,0.8753833333333333,0.8645,0.3392978778430648,0.37325222182805373,2,0.4752,128,60.82
FashionMNIST,784=>256=>128=>64=>10,3,0.8753833333333333,0.8645,0.3392978778430648,0.37325222182805373,3,0.533,64,34.11
FashionMNIST,784=>256=>128=>64=>10,3,0.8753833333333333,0.8645,0.3392978778430648,0.37325222182805373,4,0.2528,10,2.53
